cusnbr,ordqty_norm,shipqty_norm,unit_fill_rate_pct
4164650,2083.0,2033.0,97.59961593855017
865531,42.0,41.0,97.61904761904762
881077,1226.0,1197.0,97.63458401305057
1067725,1992.0,1945.0,97.64056224899599
1054741,224.0,219.0,97.76785714285714
9000091,426.0,417.0,97.88732394366197
1047591,622.0,609.0,97.90996784565917
1070051,48.0,47.0,97.91666666666667
1050088,818.0,801.0,97.92176039119805
1046975,98.0,96.0,97.95918367346938
7000669,50.0,49.0,98.0
903816,2952.0,2893.0,98.00135501355014
576275,3409.0,3341.0,98.00528014080375
1050281,355.0,348.0,98.02816901408451
1173475,55715.0,54625.0,98.04361482545096
904861,260.0,255.0,98.07692307692308
906933,2702.0,2652.0,98.14951887490747
1046828,7413.0,7280.0,98.20585457979226
1049632,4038.0,3967.0,98.24170381376919
603329,57.0,56.0,98.24561403508773
1067825,17527.0,17223.0,98.26553317738346
1048759,348.0,342.0,98.27586206896552
1062791,6564.0,6454.0,98.32419256550884
1045211,12313.0,12107.0,98.32697149354341
1051294,1141.0,1122.0,98.33479404031551
616502,749.0,737.0,98.39786381842457
109123,2467.0,2429.0,98.4596676124848
1048775,260.0,256.0,98.46153846153847
1048962,591.0,582.0,98.4771573604061
1049782,2926.0,2882.0,98.49624060150376
919651,22339.0,22027.0,98.60333945118403
904864,145.0,143.0,98.62068965517241
873923,2189.0,2159.0,98.62951119232527
1067732,147.0,145.0,98.63945578231292
1051354,736.0,726.0,98.6413043478261
856338,6281.0,6198.0,98.6785543703232
1046347,2597.0,2563.0,98.6907970735464
1049629,5653.0,5579.0,98.69096055191933
42482,920.0,908.0,98.69565217391305
696283,78.0,77.0,98.71794871794872
1051958,2151.0,2124.0,98.74476987447699
1046777,162.0,160.0,98.76543209876543
35989,977.0,965.0,98.77175025588537
889877,4362.0,4310.0,98.80788629069234
4107700,84.0,83.0,98.80952380952381
1061460,1794.0,1773.0,98.82943143812709
1048887,257.0,254.0,98.83268482490273
7001239,430.0,425.0,98.83720930232558
31204,177.0,175.0,98.87005649717514
1024445,178.0,176.0,98.87640449438203
1049743,2603.0,2574.0,98.88590088359585
1007387,647.0,640.0,98.91808346213293
872160,5099.0,5044.0,98.9213571288488
687009,566.0,560.0,98.93992932862191
1055494,472.0,467.0,98.94067796610169
890648,1141.0,1129.0,98.94829097283085
841335,11955.0,11830.0,98.95441237975743
1067727,21731.0,21504.0,98.95540932308684
1067687,9236.0,9140.0,98.96058899956691
1064845,193.0,191.0,98.96373056994818
1049291,5316.0,5261.0,98.96538750940557
1048861,194.0,192.0,98.96907216494846
1030826,2792.0,2764.0,98.9971346704871
1049173,204.0,202.0,99.01960784313725
917950,106.0,105.0,99.05660377358491
1067681,77833.0,77133.0,99.10063854663188
856726,780.0,773.0,99.1025641025641
691334,28470.0,28216.0,99.10783280646294
1048928,116.0,115.0,99.13793103448276
1048857,236.0,234.0,99.15254237288136
9000044,1834.0,1819.0,99.18211559432933
1068947,2017.0,2001.0,99.20674268715915
4169010,1651.0,1638.0,99.21259842519684
1086007,2699.0,2678.0,99.22193404964801
904862,1414.0,1403.0,99.22206506364923
912823,784.0,778.0,99.23469387755102
905716,1308.0,1298.0,99.2354740061162
1046564,5817.0,5773.0,99.24359635550971
1029786,3093.0,3070.0,99.25638538635629
1085917,6084.0,6039.0,99.2603550295858
1048756,21587.0,21430.0,99.27271042757215
1025905,1247.0,1238.0,99.27826784282277
1049670,1536.0,1525.0,99.28385416666667
1055486,699.0,694.0,99.28469241773963
1050807,420.0,417.0,99.28571428571429
553442,283.0,281.0,99.29328621908127
268758,3988.0,3960.0,99.29789368104313
1049803,9477.0,9412.0,99.31412894375858
1046175,2774.0,2755.0,99.31506849315069
1046397,2212.0,2197.0,99.32188065099457
1046177,1526.0,1516.0,99.34469200524246
1050238,158.0,157.0,99.36708860759494
1046697,13475.0,13390.0,99.36920222634508
42431,28336.0,28163.0,99.38946922642575
1046550,2329.0,2315.0,99.39888364104766
1048753,523.0,520.0,99.4263862332696
1050912,3319.0,3300.0,99.4275384151853
899989,5978.0,5944.0,99.43124790899967
326506,176.0,175.0,99.43181818181819
1050214,354.0,352.0,99.43502824858757
139534,1255.0,1248.0,99.44223107569721
1154239,898.0,893.0,99.44320712694878
856636,5660.0,5629.0,99.45229681978799
1066364,1100.0,1094.0,99.45454545454545
866454,3145.0,3128.0,99.45945945945945
9000037,41533.0,41309.0,99.46066982881082
1048786,186.0,185.0,99.46236559139786
573414,1705.0,1696.0,99.47214076246334
234640,1155.0,1149.0,99.48051948051948
883313,2581.0,2568.0,99.49631925610228
856380,1996.0,1986.0,99.49899799599199
1049313,10742.0,10689.0,99.5066095699125
1046579,3462.0,3445.0,99.50895436164068
1092357,411.0,409.0,99.51338199513383
1236820,411.0,409.0,99.51338199513383
1058808,209.0,208.0,99.52153110047847
1045631,2515.0,2503.0,99.52286282306163
838007,2327.0,2316.0,99.527288354104
1046930,3644.0,3627.0,99.53347969264544
7000284,864.0,860.0,99.53703703703704
1285121,1321.0,1315.0,99.54579863739592
27454,3350.0,3335.0,99.55223880597015
1051332,461.0,459.0,99.56616052060737
144005,2609.0,2598.0,99.57838252203909
1051177,476.0,474.0,99.5798319327731
9000029,25110.0,25009.0,99.59776981282357
868682,1778.0,1771.0,99.60629921259843
1049764,817.0,814.0,99.6328029375765
884092,1935.0,1928.0,99.63824289405684
56352,1108.0,1104.0,99.63898916967509
1152023,845.0,842.0,99.64497041420118
9000014,6702.0,6680.0,99.6717397791704
890352,1828.0,1822.0,99.67177242888403
1049813,3365.0,3354.0,99.67310549777118
1048908,308.0,307.0,99.67532467532467
13289,319.0,318.0,99.68652037617555
1077575,324.0,323.0,99.69135802469135
903735,12639.0,12601.0,99.69934330247646
33710,350.0,349.0,99.71428571428571
900518,356.0,355.0,99.71910112359551
1048871,3309.0,3300.0,99.72801450589301
881009,371.0,370.0,99.73045822102426
1046687,822.0,820.0,99.7566909975669
1050426,829.0,827.0,99.75874547647769
1067723,4627.0,4616.0,99.76226496650098
691230,847.0,845.0,99.76387249114522
1050276,1312.0,1309.0,99.77134146341463
1067752,1345.0,1342.0,99.77695167286245
1067596,1811.0,1807.0,99.77912755383765
57834,1380.0,1377.0,99.78260869565217
868925,480.0,479.0,99.79166666666667
1045979,2576.0,2571.0,99.80590062111801
1050708,1062.0,1060.0,99.81167608286252
122506,540.0,539.0,99.81481481481481
9000012,15494.0,15466.0,99.81928488447141
881080,3413.0,3407.0,99.82420158218576
1045185,580.0,579.0,99.82758620689656
1049025,1816.0,1813.0,99.83480176211454
1049921,3788.0,3782.0,99.8416050686378
1045443,656.0,655.0,99.84756097560975
863995,1330.0,1328.0,99.84962406015038
1161210,697.0,696.0,99.85652797704448
1067745,726.0,725.0,99.86225895316804
1050812,742.0,741.0,99.86522911051213
871456,791.0,790.0,99.87357774968395
856277,818.0,817.0,99.87775061124694
1067695,918.0,917.0,99.89106753812636
9000019,8113.0,8105.0,99.90139282632812
866228,3068.0,3065.0,99.90221642764016
868077,1048.0,1047.0,99.90458015267176
1050298,1107.0,1106.0,99.9096657633243
1050106,2247.0,2245.0,99.91099243435691
1045327,2294.0,2292.0,99.9128160418483
11060,1178.0,1177.0,99.9151103565365
1050101,2383.0,2381.0,99.91607217792698
1045581,4314.0,4312.0,99.95363931386184
1067613,3129.0,3128.0,99.96804090763823
862663,3163.0,3162.0,99.96838444514701
1049575,4417.0,4416.0,99.97736019923025
919550,78.0,78.0,100.0
919501,10.0,10.0,100.0
919471,6.0,6.0,100.0
919259,1.0,1.0,100.0
919238,42.0,42.0,100.0
10144,8.0,8.0,100.0
10135,8.0,8.0,100.0
1010243,12.0,12.0,100.0
1009682,15.0,15.0,100.0
1009505,124.0,124.0,100.0
1009367,2.0,2.0,100.0
1009196,31.0,31.0,100.0
1008660,9.0,9.0,100.0
1008644,3.0,3.0,100.0
1008209,179.0,179.0,100.0
1004988,169.0,169.0,100.0
146801,10.0,10.0,100.0
146800,8.0,8.0,100.0
14672,10.0,10.0,100.0
14111,99.0,99.0,100.0
140352,140.0,140.0,100.0
1375566,1.0,1.0,100.0
1370250,1.0,1.0,100.0
1361075,21.0,21.0,100.0
1351625,71.0,71.0,100.0
1348850,20.0,20.0,100.0
1348449,31.0,31.0,100.0
1326750,8.0,8.0,100.0
16531,10.0,10.0,100.0
163387,340.0,340.0,100.0
15846,3.0,3.0,100.0
15791,2.0,2.0,100.0
15670,11.0,11.0,100.0
14758,56.0,56.0,100.0
146810,10.0,10.0,100.0
146809,10.0,10.0,100.0
146808,17.0,17.0,100.0
146806,5.0,5.0,100.0
146805,7.0,7.0,100.0
26707,59.0,59.0,100.0
26348,25.0,25.0,100.0
26310,10.0,10.0,100.0
257516,70.0,70.0,100.0
25043,1.0,1.0,100.0
