item,ordqty_norm,shipqty_norm,unit_fill_rate_pct
BFDTVCM-BK,4.0,0.0,0.0
NSH753015026808,1.0,0.0,0.0
NSP7130N95     ,38.0,0.0,0.0
LLR02033       ,20.0,0.0,0.0
LLR02236,97.0,0.0,0.0
LLR02236       ,1.0,0.0,0.0
LLR36421,3.0,0.0,0.0
LLR36481,1.0,0.0,0.0
LLR36601,5.0,0.0,0.0
LLR36721,8.0,0.0,0.0
AAGPME52-28    ,1.0,0.0,0.0
AAGPMLM02-28   ,1.0,0.0,0.0
AAGPMLM03-28   ,3.0,0.0,0.0
AAGQNC15-10    ,2.0,0.0,0.0
AAGQNC591-05   ,4.0,0.0,0.0
AAGQNPR59-05   ,3.0,0.0,0.0
AAGSD366-13,2.0,0.0,0.0
AAGSD374-13    ,7.0,0.0,0.0
LIS1620B-RD    ,1.0,0.0,0.0
LLR01670,2.0,0.0,0.0
LLR01671,1.0,0.0,0.0
LLR01672,5.0,0.0,0.0
LLR01674,1.0,0.0,0.0
LLR01675,1.0,0.0,0.0
NSPLA142G/9    ,2.0,0.0,0.0
NUD11880       ,1200.0,0.0,0.0
AAGSD376-13    ,1.0,0.0,0.0
AAGSD381-75    ,1.0,0.0,0.0
AAGSD387-13    ,1.0,0.0,0.0
AAGSD389-13    ,1.0,0.0,0.0
BFDTVCP16-BK,1.0,0.0,0.0
XER016-2045-00 ,3.0,0.0,0.0
XER016-2046-00 ,19.0,0.0,0.0
NUD15815       ,5.0,0.0,0.0
NUD31222       ,8.0,0.0,0.0
NUD31221       ,11.0,0.0,0.0
NUK184TL       ,2.0,0.0,0.0
BFDTVCPLR-BK,2.0,0.0,0.0
LEX140109A     ,1.0,0.0,0.0
LEX1380490     ,3.0,0.0,0.0
NUKB363-2      ,1.0,0.0,0.0
NUKBM150       ,3.0,0.0,0.0
BFDTVLCC27-BK,2.0,0.0,0.0
LEX13619HC     ,2.0,0.0,0.0
NUKB403-2      ,2.0,0.0,0.0
NUKB405        ,1.0,0.0,0.0
XER101R203     ,1.0,0.0,0.0
AAGSK14-00     ,2.0,0.0,0.0
AAGSK16-16     ,335.0,0.0,0.0
AAGSK22-00     ,8.0,0.0,0.0
AAGSK22-50     ,1.0,0.0,0.0
AAGSK24-00-04  ,217.0,0.0,0.0
BFDTVLCC27-BK  ,1.0,0.0,0.0
NUKBM173       ,3.0,0.0,0.0
NUKB70         ,2.0,0.0,0.0
NUKB82         ,1.0,0.0,0.0
LEX12A7400     ,5.0,0.0,0.0
NUKBM337       ,2.0,0.0,0.0
LEX10E0041     ,2.0,0.0,0.0
AAGSK25-03     ,432.0,0.0,0.0
BFDTVLCW20-BK,31.0,0.0,0.0
AAGSK25-92     ,158.0,0.0,0.0
AAGSK335-00    ,25.0,0.0,0.0
AAGSK41-00,26.0,0.0,0.0
AAGSK426-00    ,29.0,0.0,0.0
XER016-2003-00 ,2.0,0.0,0.0
XER016-2004-00 ,13.0,0.0,0.0
LEX10B042C     ,5.0,0.0,0.0
LEX10B042Y     ,2.0,0.0,0.0
NUKBM356       ,3.0,0.0,0.0
NUKBM357-2     ,4.0,0.0,0.0
LEX1040888     ,2.0,0.0,0.0
LEO89004       ,5.0,0.0,0.0
NUKC40         ,3.0,0.0,0.0
XER016-2012-00 ,3.0,0.0,0.0
BFDTVLCW27-BK,53.0,0.0,0.0
AAGSK48-00     ,81.0,0.0,0.0
AAGSK625-00    ,27.0,0.0,0.0
AAGSK7-50      ,1.0,0.0,0.0
NUKLT94R       ,1.0,0.0,0.0
NUKFT45R       ,10.0,0.0,0.0
LEO73290       ,6.0,0.0,0.0
LEO73501       ,3.0,0.0,0.0
LEO73507       ,1.0,0.0,0.0
LEO3703L       ,1.0,0.0,0.0
BFDTVLCW27-BK  ,1.0,0.0,0.0
LAKR16PED      ,1.0,0.0,0.0
LEE10140       ,11.0,0.0,0.0
NUKPM509       ,6.0,0.0,0.0
LAK792/S/GSA   ,1.0,0.0,0.0
LAKQTV22       ,14.0,0.0,0.0
AAGSK700-00    ,604.0,0.0,0.0
AAGSK8-00      ,4.0,0.0,0.0
BGR550000108,20.0,0.0,0.0
BIN58-7808     ,112.0,0.0,0.0
OIC21302,1.0,0.0,0.0
KTKMS150,2.0,0.0,0.0
OIC77034,12.0,0.0,0.0
SPR52734       ,1.0,0.0,0.0
OIC22102       ,1.0,0.0,0.0
OIC21003       ,1.0,0.0,0.0
KTKAMS360      ,2.0,0.0,0.0
KTKBRC19SV,2.0,0.0,0.0
OIC77008,7.0,0.0,0.0
OIC77010,25.0,0.0,0.0
OIC77012,19.0,0.0,0.0
AAGSW700X-00   ,71.0,0.0,0.0
AAGSW705X-50   ,1.0,0.0,0.0
AAGSW706-50    ,56.0,0.0,0.0
AAGSW706X-00   ,10.0,0.0,0.0
XER016-1947-00 ,2.0,0.0,0.0
KRY2357543     ,1.0,0.0,0.0
BIN54-2128-53  ,2.0,0.0,0.0
OIC83203,1.0,0.0,0.0
OIC83205,7.0,0.0,0.0
KRY2357501     ,1.0,0.0,0.0
OIC92914,6.0,0.0,0.0
OIC93681,33.0,0.0,0.0
OIC97832,1.0,0.0,0.0
OIC99701,8.0,0.0,0.0
OIC99703,3.0,0.0,0.0
OIC99704,3.0,0.0,0.0
KOK00230       ,3.0,0.0,0.0
KOK00231       ,2.0,0.0,0.0
KOK00490,7.0,0.0,0.0
XER016-1882-00 ,4.0,0.0,0.0
OIC99911       ,10.0,0.0,0.0
OIC99912,451.0,0.0,0.0
SPR52730       ,1.0,0.0,0.0
OIC99915,160.0,0.0,0.0
OIC94909       ,5.0,0.0,0.0
OIC99706,3.0,0.0,0.0
OIC99814,2.0,0.0,0.0
KOD1125319     ,3.0,0.0,0.0
KOD1335264     ,23.0,0.0,0.0
KNI947109      ,6.0,0.0,0.0
KOD1096023     ,35.0,0.0,0.0
OKI42127402    ,1.0,0.0,0.0
ABFDC3705      ,25.0,0.0,0.0
ABFS8714       ,16.0,0.0,0.0
XER016-1827-00 ,1.0,0.0,0.0
KMW82024       ,3.0,0.0,0.0
KMW82052,1.0,0.0,0.0
KNI946155      ,6.0,0.0,0.0
OKI52112901    ,3.0,0.0,0.0
OLY141-680     ,7.0,0.0,0.0
KMW64321       ,1.0,0.0,0.0
OSP2900,1.0,0.0,0.0
OSP2900        ,1.0,0.0,0.0
OSPDC3485-06,4.0,0.0,0.0
OSPDC3485-12,5.0,0.0,0.0
OSPDC430-19,26.0,0.0,0.0
OSPDC430-21,30.0,0.0,0.0
OSPEL4300-3,29.0,0.0,0.0
OSPEL4300-4,5.0,0.0,0.0
OSPSC50T74,16.0,0.0,0.0
OSPSC50T75,31.0,0.0,0.0
KMW64220,1.0,0.0,0.0
KMW64290,3.0,0.0,0.0
ABFSC1154-2D,2.0,0.0,0.0
ABFSC1156,10.0,0.0,0.0
ABFSC118-4D,15.0,0.0,0.0
XER006R90304   ,2.0,0.0,0.0
KMW64079       ,4.0,0.0,0.0
OSP03ARMS,13.0,0.0,0.0
OSP2300,2.0,0.0,0.0
OSP25004,1.0,0.0,0.0
OSPV3310-20,43.0,0.0,0.0
OSPV3310-21,38.0,0.0,0.0
OSPV3320-19,7.0,0.0,0.0
OSPV3320-20,11.0,0.0,0.0
OSPV3320-21,23.0,0.0,0.0
OSPV4410-74,40.0,0.0,0.0
OSPV4410-75,57.0,0.0,0.0
OSPV4410-78,19.0,0.0,0.0
OSPV4420-74,96.0,0.0,0.0
XER016-1523-00 ,1.0,0.0,0.0
ACC12992       ,1.0,0.0,0.0
ACC12993       ,2.0,0.0,0.0
WTM52022       ,2.0,0.0,0.0
KMW62199       ,1.0,0.0,0.0
KMW62210       ,2.0,0.0,0.0
OSPSC50T78,12.0,0.0,0.0
OSPSC88074,6.0,0.0,0.0
OSPSC88075,11.0,0.0,0.0
OSPSC88078,10.0,0.0,0.0
OSPST205,1.0,0.0,0.0
OSPV3310-19,14.0,0.0,0.0
OSPV4420-80,3.0,0.0,0.0
KMW62083B      ,32.0,0.0,0.0
KMW62084A      ,10.0,0.0,0.0
OSPV4420-75,77.0,0.0,0.0
OSPV4420-78,43.0,0.0,0.0
KMW60046       ,22.0,0.0,0.0
KMW60047       ,6.0,0.0,0.0
KMW60066       ,28.0,0.0,0.0
BIN54-1116-096 ,1.0,0.0,0.0
KMW60106       ,73.0,0.0,0.0
KMW60041,1.0,0.0,0.0
PAC2401        ,2.0,0.0,0.0
SPR54101       ,1.0,0.0,0.0
KMW55703       ,1.0,0.0,0.0
KMW57501       ,12.0,0.0,0.0
ACC16036       ,200.0,0.0,0.0
WTB36-3150TM   ,24.0,0.0,0.0
KMW55636       ,1.0,0.0,0.0
KMW55345,1.0,0.0,0.0
PAC57037       ,11.0,0.0,0.0
KMW36702       ,1.0,0.0,0.0
KMW33007       ,1.0,0.0,0.0
PAC57504       ,10.0,0.0,0.0
PAC67081       ,1.0,0.0,0.0
KMW22501       ,1.0,0.0,0.0
KMW31395       ,45.0,0.0,0.0
SPR54102       ,1.0,0.0,0.0
KMW31424,1.0,0.0,0.0
KMW12173       ,6.0,0.0,0.0
PAC67000       ,1.0,0.0,0.0
WTB32-1740TM   ,7.0,0.0,0.0
WTB33-2508TMCA ,51.0,0.0,0.0
KLF82219,12.0,0.0,0.0
KLF82220,13.0,0.0,0.0
KLF82221,2.0,0.0,0.0
KLF82222,3.0,0.0,0.0
KLF82223,2.0,0.0,0.0
KLF82224,2.0,0.0,0.0
KMW10313,19.0,0.0,0.0
KMW12000       ,1.0,0.0,0.0
KMW12165       ,6.0,0.0,0.0
KLF23055,1.0,0.0,0.0
KLF23058,6.0,0.0,0.0
KLF80009,2.0,0.0,0.0
KLF80011,1.0,0.0,0.0
KLF80012,2.0,0.0,0.0
KLF80013,1.0,0.0,0.0
KLF81121,11.0,0.0,0.0
KLF81122,8.0,0.0,0.0
KLF81123,8.0,0.0,0.0
KLF81124,4.0,0.0,0.0
KLF81125,6.0,0.0,0.0
KLF82216,13.0,0.0,0.0
KLF82217,12.0,0.0,0.0
WTB33-4709TMCA ,5.0,0.0,0.0
WTB35-3260TM,21.0,0.0,0.0
BIN52-3008     ,100.0,0.0,0.0
