vendor_id,quantity,share_pct,vendor_id_plot
CNM,1039.0,0.04972593305520632,CNM
VCT,1025.0,0.04905590123348072,VCT
VEK,1004.0,0.04805085350089234,VEK
WIM,988.0,0.04728510284749166,WIM
PAL,975.0,0.04666293044160361,PAL
MNB,965.0,0.04618433628322819,MNB
SAF,916.0,0.043839224907188626,SAF
SCC,889.0,0.04254702067957499,SCC
ITY,869.0,0.041589832362824146,ITY
MLK,836.0,0.04001047164018525,MLK
PRS,835.0,0.03996261222434771,PRS
X3R,803.0,0.03843111091754636,X3R
CSO,759.0,0.03632529662069451,CSO
CPB,755.0,0.03613385895734434,CPB
MAV,753.0,0.036038140125669256,MAV
HHP,745.0,0.03565526479896892,HHP
MNK,735.0,0.035176670640593495,MNK
IRS,731.0,0.034985232977243326,IRS
NLE,723.0,0.03460235765054299,NLE
TCO,715.0,0.03421948232384265,TCO
FBC,687.0,0.03287941868039147,FBC
NYR,679.0,0.032496543353691135,NYR
SAH,676.0,0.03235296510617851,SAH
GOL,675.0,0.032305105690340966,GOL
CAO,672.0,0.03216152744282834,CAO
TEX,670.0,0.032065808611153254,TEX
M2M,663.0,0.03173079270029046,M2M
TBL,659.0,0.03153935503694029,TBL
KTK,650.0,0.031108620294402412,KTK
SBK,625.0,0.029912134898463855,SBK
MCN,611.0,0.029242103076738267,MCN
BDY,604.0,0.02890708716587547,BDY
MXB,595.0,0.02847635242333759,MXB
WLG,539.0,0.025796225136435227,WLG
CAF,532.0,0.025461209225572438,CAF
TRP,517.0,0.0247433179880093,TRP
MOK,517.0,0.0247433179880093,MOK
LIL,499.0,0.023881848502933543,LIL
SMC,488.0,0.023355394928720578,SMC
PAT,486.0,0.023259676097045497,PAT
CPL,483.0,0.02311609784953287,CPL
PLN,478.0,0.02287680077034516,PLN
BHC,477.0,0.022828941354507616,BHC
PFI,476.0,0.02278108193867007,PFI
URI,475.0,0.02273322252283253,URI
PTI,471.0,0.022541784859482362,PTI
MAT,466.0,0.02230248778029465,MAT
HOU,465.0,0.02225462836445711,HOU
PRE,458.0,0.021919612453594313,PRE
KOE,453.0,0.021680315374406605,KOE
SPR,447.0,0.02139315887938135,SPR
POA,429.0,0.02053168939430559,POA
BND,424.0,0.02029239231511788,BND
FST,419.0,0.02005309523593017,FST
I2C,407.0,0.019478782245879664,I2C
